column,code,value,rows
reason,R75,"Parses OIDC/handoff evidence, including backend token issuer and evidence bounds.",1
reason,R76,Parses backend redaction summary grammar; unknown projection must not be presented as no change.,1
reason,R77,"Pending-session title is matched verbatim by backend orphan cleanup, alongside ordinary display copy.",1
reason,R78,Persists operation identities/fingerprints and reconciles orphan descriptors across reloads.,1
reason,R79,Pins allowed placement of planner calls within the tutorial journey.,1
reason,R80,"Plugin catalog, schema and principal availability response shapes.",1
reason,R81,Preferences exact-record response keys and update request semantics.,1
reason,R82,Presents backend-produced audit story and result meanings in the teaching journey.,1
reason,R83,Projects reviewed output fields for consumer-visible review surfaces.,1
reason,R84,Protects live identity credentials and protocol material in browser test reports.,1
reason,R85,Publishes website tree including tutorial synthetic fixtures to GitHub Pages.,1
reason,R86,Python gate compares this fixture with actual guided proposal projection; frontend decoder test consumes it.,1
reason,R87,Python test reads frontend TypeScript source to pin an API vocabulary or domain mirror; some files also contain ordinary backend assertions.,1
reason,R88,"Readiness rows, component jump targets and diagnostic response shapes.",1
reason,R89,Reads backend authoring/audit evidence and implements efficiency/completeness acceptance.,1
reason,R90,Reads frontend auditCharacteristics.ts and compares Python AuditCharacteristic vocabulary. / Python test reads frontend TypeScript source to pin an API vocabulary or domain mirror; some files also contain ordinary backend assertions.,1
reason,R91,Reads frontend graphTopology.ts mirrors of Python topology rules. / Python test reads frontend TypeScript source to pin an API vocabulary or domain mirror; some files also contain ordinary backend assertions.,1
reason,R92,Reads frontend index.html and checks browser delivery and frontend build identity.,1
reason,R93,Reads frontend playwright.config.ts backend settings used by browser harness.,1
reason,R94,Reads frontend pluginPolicyMatrix.json and checks live backend policy projections.,1
reason,R95,Reads frontend preferencesDecoder.ts exact response keys. / Python test reads frontend TypeScript source to pin an API vocabulary or domain mirror; some files also contain ordinary backend assertions.,1
reason,R96,Reads frontend types/index.ts semantic edge interface and outcome vocabulary. / Python test reads frontend TypeScript source to pin an API vocabulary or domain mirror; some files also contain ordinary backend assertions.,1
reason,R97,Reads published website/tutorial-site fixtures and staging browser scenario references; verifies fixture semantics and URLs and explicitly rejects frontend public copies.,1
reason,R98,Redacted tool arguments feed client proposal summaries; representation changes affect frontend readers.,1
reason,R99,Restates backend implicit producer and fan-in rules; Python parity tests directly read this file.,1
resolution,X01,Retain with your team unless subsequent scope review identifies a handoff or shared contract.,4553
resolution,X02,Coordinate contract-sensitive changes identified separately; ordinary UI work belongs to web team.,517
resolution,X03,Web team maintains visual system; backend team reviews statements of engine capability and canonical domain vocabulary when they change.,68
resolution,X04,Confirm whether public site belongs to web team; if so transfer site maintenance and coordinate product claims and token copies.,21
resolution,X05,"Backend remains contract authority; coordinate schema/vocabulary changes with TypeScript decoders, renderers and shared contract fixtures.",12
resolution,X06,"Web team owns browser automation implementation; backend/product owner owns provider-authoring and audit acceptance meaning. Coordinate scenario/rubric/evidence changes, preserving per-transition provider scrutiny and credential-safe diagnostics.",9
resolution,X07,"Web team owns frontend tooling; coordinate service origin, asset identity/retention, Python harness dependencies and required release checks with backend/release owner. Separate ownership can retain current combined deployment.",9
resolution,X08,"Web team owns implementation; coordinate field, enum, error and protocol changes with backend schema owner. Publish generated schemas and conformance fixtures; retain current parity gates until equivalent checks exist.",9
resolution,X09,Web team owns rendering; coordinate semantic vocabulary changes. Prefer backend-projected facts or published conformance cases rather than another authoritative domain implementation. Pure presentation edits remain autonomous.,9
resolution,X10,Confirm public website ownership before assigning this kit; shared visual design system can transfer independently.,7
resolution,X11,Keep producer and correctness rules with backend; agree payload and presentation changes with consuming web components and their fixtures.,7
resolution,X12,"Web team owns browser implementation; backend owns durable outcomes. Agree operation identity, timeout, cancellation, conflict, reconciliation and terminal-state contracts; preserve interrupted-response and reload acceptance cases.",7
resolution,X13,Keep Python test owner mine; keep frontend counterpart/fixture edits coordinated and preserve the test input path or replace it with a versioned shared contract artifact before repository extraction. / Backend retains test/contract authority; web team coordinates consumer changes. Extract cross-language checks into contract verification when useful; do not transfer all backend tests.,6
resolution,X14,Retain backend owner; consult web team only for actual artifact/API dependencies.,6
resolution,X15,"Web team owns tutorial UI/content implementation; coordinate scenario prompts, persistence/cleanup markers and execution/audit meaning with backend/product owner. Layout and ordinary wording remain theirs; preserve the common Composer backend path.",6
resolution,X16,Keep backend/release owner accountable for combined artifact; web team supplies verified SPA build. Separate artifacts only if separately approved.,5
resolution,X17,Retain backend responsibility for fixture meaning and stable scenario URLs; agree hosting ownership separately.,5
resolution,X18,Web team owns consumer use and file maintenance; backend owns producer truth. Update fixtures from backend production paths and run producer/consumer parity checks together; publish fixtures before any repository separation.,5
resolution,X19,Web team owns interface instructions and screenshots; backend team owns behavior/security claims and operator sections. Assign document editor or separate sections.,5
resolution,X20,Backend owns Azurite; web team owns browser tooling. Agree shared runtime pin and package manifest ownership or move dependency consumers into scoped packages.,4
resolution,X21,"Backend owns expected engine/Composer outcomes and input corpus; web team owns browser journey checks, with one integrated acceptance owner.",3
resolution,X22,Keep Python test owner mine; keep frontend counterpart/fixture edits coordinated and preserve the test input path or replace it with a versioned shared contract artifact before repository extraction.,3
resolution,X23,"Web team owns browser code; backend owns authentication, authorization and capability policy. Coordinate storage, logout, callback/origin and capability-error semantics, with auth journey checks.",3
resolution,X24,Keep Python test owner mine; keep frontend counterpart/fixture edits coordinated and preserve the test input path or replace it with a versioned shared contract artifact before repository extraction. / Backend owns fixture generation and schema meaning; web team owns consuming tests; publish/recheck fixtures with contract changes.,2
resolution,X25,"Name owner by job/ecosystem, retaining one integration gate owner and coordinated required-check changes.",2
resolution,X26,Transfer maintenance; retain backend review when statements affect service/domain invariants.,2
resolution,X27,Your team reconciles compiler scope separately; this is not a prerequisite for UX ownership transfer.,2
resolution,X28,Backend retains test/contract authority; web team coordinates consumer changes. Extract cross-language checks into contract verification when useful; do not transfer all backend tests.,1
resolution,X29,"Coordinate curated label changes with backend guided/_display.py, or publish one authoritative label source.",1
resolution,X30,Decide public-site remit; preserve fixture availability and URLs independently of app UX ownership.,1
resolution,X31,Keep Python generator owner mine; jointly review generated frontend fixture and consumer tests when the wire projection changes. / Backend owns fixture generation and schema meaning; web team owns consuming tests; publish/recheck fixtures with contract changes.,1
resolution,X32,Keep Python owner mine initially; nominate one shared label authority or synchronize the two implementations until the presentation contract is extracted.,1
resolution,X33,Keep Python test owner mine; keep frontend counterpart/fixture edits coordinated and preserve the test input path or replace it with a versioned shared contract artifact before repository extraction. / Backend owns semantic corpus assertions; web team maintains browser scenario references; public-site owner preserves hosting.,1
resolution,X34,"Keep backend owner; coordinate command, cancellation, ticket/reconnect and conflict-envelope behavior, without treating internal execution work as shared.",1
resolution,X35,Keep backend owner; jointly specify retry/abort/settlement semantics so browser request changes do not create duplicated or abandoned work.,1
resolution,X36,"Keep backend ownership; agree browser login/refresh/logout and callback/error behavior, without delegating authorization policy.",1
resolution,X37,Keep backend ownership; coordinate only browser-facing settings and origin changes with web team.,1
resolution,X38,"Keep backend ownership; coordinate title/identity changes with frontend tutorial copy, or replace text matching with explicit identity.",1
resolution,X39,"Keep backend ownership; jointly agree static hosting, origins, public config and build identity before deployment changes.",1
resolution,X40,Keep backend semantics authoritative; coordinate new node kinds and topology changes with frontend graph projection/parity tests.,1
resolution,X41,Keep repository guide ownership with your team; web team owns accuracy of frontend setup/check instructions.,1
resolution,X42,Only changes to UI-exposed enum values need coordination; retain all engine enum ownership with backend.,1
