path,bucket,proposed_owner,topic,basis,reason,resolution
design/components/forms/Textarea.prompt.md,theirs,theirs,T03,B04,R03,X03
design/components/forms/forms.card.html,theirs,theirs,T03,B04,R03,X03
design/guidelines/brand-positioning.html,theirs,theirs,T03,B04,R03,X03
design/guidelines/colors-semantic.html,theirs,theirs,T03,B04,R03,X03
design/guidelines/colors-status-badges.html,theirs,theirs,T03,B04,R03,X03
design/guidelines/colors-surfaces.html,theirs,theirs,T03,B04,R03,X03
design/guidelines/colors-text.html,theirs,theirs,T03,B04,R03,X03
design/guidelines/colors-type-badges.html,theirs,theirs,T03,B04,R03,X03
design/guidelines/iconography.html,theirs,theirs,T03,B04,R03,X03
design/guidelines/spacing-radius.html,theirs,theirs,T03,B04,R03,X03
design/guidelines/spacing-scale.html,theirs,theirs,T03,B04,R03,X03
design/guidelines/type-families.html,theirs,theirs,T03,B04,R03,X03
design/guidelines/type-scale.html,theirs,theirs,T03,B04,R03,X03
design/guidelines/type-wordmark.html,theirs,theirs,T03,B04,R03,X03
design/readme.md,theirs,theirs,T03,B04,R03,X03
design/styles.css,theirs,theirs,T03,B04,R03,X03
design/tokens/base.css,theirs,theirs,T03,B04,R03,X03
design/tokens/colors.css,theirs,theirs,T03,B04,R03,X03
design/tokens/fonts.css,theirs,theirs,T03,B04,R03,X03
design/tokens/layout.css,theirs,theirs,T03,B04,R03,X03
design/tokens/primitives.css,theirs,theirs,T03,B04,R03,X03
design/tokens/typography.css,theirs,theirs,T03,B04,R03,X03
design/ui_kits/composer/CatalogDrawer.jsx,theirs,theirs,T03,B04,R03,X03
design/ui_kits/composer/ComposerShell.jsx,theirs,theirs,T03,B04,R03,X03
design/ui_kits/composer/LoginScreen.jsx,theirs,theirs,T03,B04,R03,X03
design/ui_kits/composer/PipelineGraph.jsx,theirs,theirs,T03,B04,R03,X03
design/ui_kits/composer/app.jsx,theirs,theirs,T03,B04,R03,X03
design/ui_kits/composer/data.js,theirs,theirs,T03,B04,R03,X03
design/ui_kits/composer/index.html,theirs,theirs,T03,B04,R03,X03
design/ui_kits/website/assurance.html,deconflict,undecided,T11,B04,R05,X10
design/ui_kits/website/authoring.html,deconflict,undecided,T11,B04,R05,X10
design/ui_kits/website/get-started.html,deconflict,undecided,T11,B04,R05,X10
design/ui_kits/website/index.html,deconflict,undecided,T11,B04,R05,X10
design/ui_kits/website/site.css,deconflict,undecided,T11,B04,R05,X10
design/ui_kits/website/site.js,deconflict,undecided,T11,B04,R05,X10
design/ui_kits/website/use-cases.html,deconflict,undecided,T11,B04,R05,X10
docker-compose.yaml,mine,mine,T01,B01,R01,X01
docs/README.md,mine,mine,T01,B01,R01,X01
docs/agents/explore-and-pin-methodology.md,mine,mine,T01,B01,R01,X01
docs/agents/recent-code-hints.md,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B01.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B03.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B04.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B06.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B07.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B09.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B11.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B12.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B13.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B14.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B15.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B16.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B17.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B18.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B19.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B20.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B21.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B22.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B24.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B25.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B26.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B27.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B28.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B30.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B31.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B32.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B33.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B34.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B35.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B37.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B39.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B40.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B41.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B42.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B43.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B45.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B46.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B47.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B48.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B49.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B50.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B51.rationales.json,mine,mine,T01,B01,R01,X01
docs/agents/sweeps/tier-burndown/B52.rationales.json,mine,mine,T01,B01,R01,X01
